frame_start,frame_end,mpoint
86289,86333,86311
86334,86418,86376
86419,86551,86485
86552,86721,86636
86722,86805,86763
86806,86924,86865
86925,86975,86950
86976,87228,87102
87229,87301,87265
87302,87395,87348
87396,87465,87430
87466,87508,87487
87509,87544,87526
87545,87620,87582
87621,87770,87695
87771,88403,88087
88404,88646,88525
88647,89012,88829
89013,89120,89066
89121,89185,89153
89186,89242,89214
89243,89282,89262
89283,89352,89317
89353,89484,89418
89485,89551,89518
89552,89893,89722
89894,90071,89982
90072,90202,90137
90203,90301,90252
90302,90374,90338
90375,90531,90453
90532,90634,90583
90635,90733,90684
90734,90856,90795
90857,91493,91175
91494,91656,91575
91657,91714,91685
91715,91751,91733
91752,91850,91801
91851,91956,91903
91957,92293,92125
92294,92432,92363
92433,92969,92701
92970,93148,93059
93149,93463,93306
93464,93596,93530
93597,93652,93624
93653,93757,93705
93758,93953,93855
93954,94085,94019
94086,94267,94176
94268,94330,94299
94331,94369,94350
94370,94527,94448
94528,94667,94597
94668,94746,94707
94747,94789,94768
94790,94922,94856
94923,96045,95484
96046,96087,96066
96088,96135,96111
96136,96202,96169
96203,96278,96240
96279,96448,96363
96449,96565,96507
96566,96628,96597
96629,96676,96652
96677,96835,96756
96836,97700,97268
97701,97780,97740
97781,97852,97816
97853,97913,97883
97914,98021,97967
98022,98056,98039
98057,98132,98094
98133,98375,98254
98376,98422,98399
98423,98513,98468
98514,98652,98583
98653,98701,98677
98702,99007,98854
99008,99134,99071
99135,99241,99188
99242,99292,99267
99293,99359,99326
99360,99516,99438
99517,99595,99556
99596,99675,99635
99676,100778,100227
100779,101264,101021
101265,101393,101329
101394,101471,101432
101472,102895,102183
102896,103012,102954
103013,103152,103082
103153,103373,103263
103374,103427,103400
103428,103534,103481
103535,103599,103567
103600,103796,103698
103797,103902,103849
103903,104155,104029
104156,104267,104211
104268,104404,104336
104405,104612,104508
104613,105533,105073
105534,105622,105578
105623,106100,105861
106101,106289,106195
106290,106471,106380
106472,106836,106654
106837,107147,106992
107148,107365,107256
107366,107561,107463
107562,107756,107659
107757,107905,107831
107906,108018,107962
108019,108137,108078
108138,108437,108287
108438,108511,108474
108512,108631,108571
108632,108896,108764
108897,108958,108927
108959,109066,109012
109067,109210,109138
109211,109343,109277
109344,109580,109462
109581,109688,109634
109689,110037,109863
110038,110491,110264
110492,110671,110581
110672,111172,110922
111173,111557,111365
111558,111862,111710
111863,112135,111999
112136,112397,112266
112398,112443,112420
112444,112542,112493
112543,113016,112779
113017,113273,113145
113274,113468,113371
113469,114028,113748
114029,114332,114180
114333,114645,114489
114646,114834,114740
114835,114910,114872
114911,115098,115004
115099,115543,115321
115544,115772,115658
115773,115940,115856
115941,116199,116070
116200,116360,116280
116361,116468,116414
116469,116716,116592
116717,116945,116831
116946,117466,117206
117467,118174,117820
118175,118789,118482
118790,119911,119350
119912,119960,119936
119961,120078,120019
120079,120252,120165
120253,120323,120288
120324,120403,120363
120404,120447,120425
120448,120540,120494
120541,120601,120571
120602,120635,120618
120636,120684,120660
120685,120795,120740
120796,120881,120838
120882,120913,120897
120914,120960,120937
120961,121117,121039
121118,121237,121177
121238,121400,121319
121401,121525,121463
121526,121580,121553
121581,121613,121597
121614,121665,121639
121666,121916,121791
121917,121960,121938
121961,122007,121984
122008,122083,122045
122084,122184,122134
122185,122316,122250
122317,122364,122340
122365,122477,122421
122478,122605,122541
122606,122654,122630
122655,122724,122689
122725,123309,123017
123310,123363,123336
123364,123517,123440
123518,123757,123637
123758,123855,123806
123856,123919,123887
123920,124146,124033
124147,124242,124194
124243,124467,124355
124468,124555,124511
124556,124720,124638
124721,124957,124839
124958,125109,125033
125110,125831,125470
125832,126161,125996
126162,126367,126264
126368,126541,126454
126542,126767,126654
126768,126830,126799
126831,127060,126945
127061,127408,127234
127409,127490,127449
127491,127634,127562
127635,127733,127684
127734,127909,127821
127910,128049,127979
128050,128354,128202
128355,128599,128477
128600,128676,128638
128677,128811,128744
128812,128973,128892
128974,129287,129130
129288,129430,129359
129431,129649,129540
129650,129730,129690
129731,129861,129796
129862,130077,129969
130078,130171,130124
130172,130236,130204
130237,130343,130290
130344,130431,130387
130432,130562,130497
130563,130740,130651
130741,130958,130849
130959,131026,130992
131027,131194,131110
131195,131360,131277
131361,131440,131400
131441,131599,131520
131600,131807,131703
131808,132090,131949
132091,132179,132135
132180,132308,132244
132309,132398,132353
132399,132451,132425
132452,132624,132538
132625,132692,132658
132693,132807,132750
132808,133109,132958
133110,135345,134227
135346,135892,135619
135893,136475,136184
136476,136549,136512
136550,136857,136703
136858,137095,136976
137096,137469,137282
137470,137652,137561
137653,137813,137733
137814,137915,137864
137916,138004,137960
138005,138161,138083
138162,138472,138317
138473,138511,138492
138512,138660,138586
138661,138815,138738
138816,138936,138876
138937,139449,139193
139450,139498,139474
139499,139939,139719
139940,140058,139999
140059,140275,140167
140276,141486,140881
141487,141563,141525
141564,141724,141644
141725,142102,141913
142103,143156,142629
143157,143614,143385
143615,143929,143772
143930,144153,144041
144154,144478,144316
144479,144693,144586
144694,144861,144777
144862,145307,145084
145308,145376,145342
145377,145530,145453
145531,145668,145599
145669,145813,145741
145814,145884,145849
145885,145989,145937
145990,146111,146050
146112,146157,146134
146158,146264,146211
146265,146431,146348
146432,146525,146478
146526,146777,146651
146778,146919,146848
146920,146988,146954
146989,147058,147023
147059,147149,147104
147150,147279,147214
147280,147350,147315
147351,147472,147411
147473,147658,147565
147659,147829,147744
147830,147914,147872
147915,147997,147956
147998,148075,148036
148076,148180,148128
148181,148254,148217
148255,148324,148289
148325,148369,148347
148370,148785,148577
148786,148947,148866
148948,149060,149004
149061,149117,149089
149118,149179,149148
149180,149319,149249
149320,149424,149372
149425,149504,149464
149505,149593,149549
149594,149877,149735
149878,150062,149970
150063,150181,150122
150182,150389,150285
150390,150788,150589
150789,150941,150865
150942,150992,150967
150993,151096,151044
151097,151240,151168
151241,151465,151353
151466,151573,151519
151574,151705,151639
151706,151758,151732
151759,151850,151804
151851,151991,151921
151992,152220,152106
152221,152571,152396
152572,152649,152610
152650,152760,152705
152761,153010,152885
153011,153151,153081
153152,153238,153195
153239,153458,153348
153459,153571,153515
153572,153788,153680
153789,153835,153812
153836,153915,153875
153916,153967,153941
153968,154080,154024
154081,154150,154115
154151,154508,154329
154509,154785,154647
154786,154934,154860
154935,156149,155542
156150,156230,156190
156231,156734,156482
156735,157040,156887
157041,157261,157151
157262,157330,157296
157331,157901,157616
157902,157967,157934
157968,158008,157988
158009,158046,158027
158047,158587,158317
158588,158688,158638
158689,158766,158727
158767,158833,158800
158834,158887,158860
158888,158933,158910
158934,158980,158957
158981,159026,159003
159027,159106,159066
159107,159329,159218
159330,159520,159425
159521,160636,160078
160637,160666,160651
160667,160718,160692
160719,161881,161300
161882,162056,161969
162057,162121,162089
162122,162486,162304
162487,162561,162524
162562,162917,162739
162918,163015,162966
163016,163214,163115
